row_id,user_id,user_state,user_manager,user_mail
1,1,False,1,crystal21@company.com
2,2,True,1,sking@company.com
3,3,True,2,smithstacy@company.com
4,4,False,2,margaret71@company.com
5,5,True,4,jonathan27@company.com
6,6,False,3,aanderson@company.com
7,7,False,3,jerome86@company.com
8,8,True,3,ycollins@company.com
9,9,True,3,rsantos@company.com
10,10,True,5,thomas81@company.com
11,11,False,3,staffordsarah@company.com
12,12,False,8,toni43@company.com
13,13,True,7,torresthomas@company.com
14,14,False,2,jacksonjustin@company.com
15,15,True,3,brandon15@company.com
16,16,False,15,morrisjulie@company.com
17,17,True,8,stevenhamilton@company.com
18,18,False,8,allison85@company.com
19,19,True,8,kathrynrivas@company.com
20,20,True,14,tpatterson@company.com
21,21,True,3,brittanyzamora@company.com
22,22,False,15,shawnbrown@company.com
23,23,True,5,srojas@company.com
24,24,False,3,thomas35@company.com
25,25,False,8,clin@company.com
26,26,True,19,beckandrew@company.com
27,27,True,2,pwoods@company.com
28,28,True,1,willisdouglas@company.com
29,29,False,25,campbellvickie@company.com
30,30,False,27,lauren97@company.com
31,31,False,12,njohnson@company.com
32,32,True,5,andrew38@company.com
33,33,True,5,leah56@company.com
34,34,False,32,soliver@company.com
35,35,True,3,shane70@company.com
36,36,False,3,angela59@company.com
37,37,True,30,jessica34@company.com
38,38,True,1,bsavage@company.com
39,39,True,37,andrew56@company.com
40,40,True,22,jdennis@company.com
41,41,False,9,adkinsjennifer@company.com
42,42,False,3,fowlersavannah@company.com
43,43,True,39,okaufman@company.com
44,44,False,12,vmcintyre@company.com
45,45,True,17,parksanna@company.com
46,46,False,19,vtate@company.com
47,47,False,17,susan48@company.com
48,48,False,17,burtonjustin@company.com
49,49,True,2,adamjohnson@company.com
50,50,True,5,carlsondenise@company.com
